"ref_name","ARO Term","ARO Accession","NCBI","init_final","Model Sequence ID","CVTERM ID","ARO Name","Protein Accession","DNA Accession","AMR Gene Family","Drug Class","Resistance Mechanism"
"SHV-2A.3001061.X98102.73-934.833","SHV-2A",3001061,"X98102","73-934","833",37441,"SHV-2A","CAA66730.1","X98102","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-105.3001154.FJ194944.46-907.1941","SHV-105",3001154,"FJ194944","46-907","1941",37534,"SHV-105","ACI22621.1","FJ194944","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-79.3001133.AM176554.30-891.921","SHV-79",3001133,"AM176554","30-891","921",37513,"SHV-79","CAJ47134.2","AM176554","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-142.3001184.JQ029959.28-889.1711","SHV-142",3001184,"JQ029959","28-889","1711",37564,"SHV-142","AEX99752.1","JQ029959","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-46.3001104.AY210887.111-972.919","SHV-46",3001104,"AY210887","111-972","919",37484,"SHV-46","AAO53445.1","AY210887","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-103.3001152.EU032604.0-861.1772","SHV-103",3001152,"EU032604","0-861","1772",37532,"SHV-103","ABS72351.1","EU032604","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-134.3001178.HM559945.0-861.1231","SHV-134",3001178,"HM559945","0-861","1231",37558,"SHV-134","ADM25824.1","HM559945","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-32.3001090.AY037778.91-952.1066","SHV-32",3001090,"AY037778","91-952","1066",37470,"SHV-32","AAK69828.1","AY037778","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-104.3001153.EU274581.0-861.1850","SHV-104",3001153,"EU274581","0-861","1850",37533,"SHV-104","ABX71158.1","EU274581","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-78.3001132.AM176553.30-891.840","SHV-78",3001132,"AM176553","30-891","840",37512,"SHV-78","CAJ47133.2","AM176553","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-60.3001115.AB302939.8-869.1948","SHV-60",3001115,"AB302939","8-869","1948",37495,"SHV-60","BAF92780.1","AB302939","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-86.3001140.DQ328802.0-861.1564","SHV-86",3001140,"DQ328802","0-861","1564",37520,"SHV-86","ABC58727.1","DQ328802","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-121.3001168.HQ661362.71-932.1621","SHV-121",3001168,"HQ661362","71-932","1621",37548,"SHV-121","AEI83429.1","HQ661362","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-24.3001082.AB023477.0-861.1637","SHV-24",3001082,"AB023477","0-861","1637",37462,"SHV-24","BAA84973.1","AB023477","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-106.3001155.AM941847.0-861.2019","SHV-106",3001155,"AM941847","0-861","2019",37535,"SHV-106","CAQ03506.1","AM941847","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-98.3001336.AM941844.0-861.994","SHV-98",3001336,"AM941844","0-861","994",37736,"SHV-98","CAQ03503.1","AM941844","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-97.3001149.EF373973.0-861.922","SHV-97",3001149,"EF373973","0-861","922",37529,"SHV-97","ABN49114.1","EF373973","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-178.3001361.KF705209.0-861.1473","SHV-178",3001361,"KF705209","0-861","1473",37761,"SHV-178","AHA80963.1","KF705209","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-172.3001356.KF513177.0-861.1313","SHV-172",3001356,"KF513177","0-861","1313",37756,"SHV-172","AHA80958.1","KF513177","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-143.3001344.JQ341060.1.881-1742.4699","SHV-143",3001344,"JQ341060 . 1","881-1742","4699",37744,"SHV-143","AFQ32277.1","JQ341060.1","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"mdtF.3000796.U00096.3660413-3663527.286","mdtF",3000796,"U00096","3660413-3663527","286",37176,"mdtF","AAC76539.1","U00096","resistance-nodulation-cell division (RND) antibiotic efflux pump","fluoroquinolone antibiotic;macrolide antibiotic;penam","antibiotic efflux"
"tetA(P).3000180.L20800.1062-2325.30","tetA(P)",3000180,"L20800","1062-2325","30",36319,"tetA(P)","AAA20116.1","L20800","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux"
"SHV-119.3001340.KJ776406.16-877.1387","SHV-119",3001340,"KJ776406","16-877","1387",37740,"SHV-119","AIG51284.1","KJ776406","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-110.3001159.HQ877615.0-861.1143","SHV-110",3001159,"HQ877615","0-861","1143",37539,"SHV-110","AEK48094.1","HQ877615","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-30.3001088.AY661885.48-909.918","SHV-30",3001088,"AY661885","48-909","918",37468,"SHV-30","AAT75225.1","AY661885","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-38.3001096.AY079099.148-1009.1561","SHV-38",3001096,"AY079099","148-1009","1561",37476,"SHV-38","AAL79576.1","AY079099","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-36.3001094.AF467947.0-861.1392","SHV-36",3001094,"AF467947","0-861","1392",37474,"SHV-36","AAL82592.1","AF467947","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-3.3001062.KX092356.1.192-1053.5455","SHV-3",3001062,"KX092356 . 1","192-1053","5455",37442,"SHV-3","ANA06389.1","KX092356.1","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-75.3001129.AM176550.30-891.1876","SHV-75",3001129,"AM176550","30-891","1876",37509,"SHV-75","CAJ47130.2","AM176550","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-99.3001337.AM941845.0-861.1070","SHV-99",3001337,"AM941845","0-861","1070",37737,"SHV-99","CAQ03504.1","AM941845","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-111.3001160.AB372881.8-869.1230","SHV-111",3001160,"AB372881","8-869","1230",37540,"SHV-111","BAF95849.1","AB372881","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-14.3001073.AF226622.54-915.1471","SHV-14",3001073,"AF226622","54-915","1471",37453,"SHV-14","AAG17550.1","AF226622","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-133.3001177.AB551737.14-875.1144","SHV-133",3001177,"AB551737","14-875","1144",37557,"SHV-133","BAI94487.1","AB551737","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-164.3001347.HE981194.0-861.988","SHV-164",3001347,"HE981194","0-861","988",37747,"SHV-164","CCK86744.1","HE981194","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-188.3003155.LN515534.0-873.989","SHV-188",3003155,"LN515534","0-873","989",39732,"SHV-188","CEA29751.1","LN515534","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-160.3001199.JX121127.0-861.1944","SHV-160",3001199,"JX121127","0-861","1944",37579,"SHV-160","AFQ23966.1","JX121127","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-73.3001127.AM176548.16-874.1716","SHV-73",3001127,"AM176548","16-874","1716",37507,"SHV-73","CAJ47128.2","AM176548","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-95.3001147.EF373972.0-861.2028","SHV-95",3001147,"EF373972","0-861","2028",37527,"SHV-95","ABN49113.1","EF373972","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-31.3001089.AY277255.66-927.990","SHV-31",3001089,"AY277255","66-927","990",37469,"SHV-31","AAP33454.2","AY277255","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"catII.3002684.X53797.133-775.742","catII",3002684,"X53797","133-775","742",39118,"catII","CAA37806.1","X53797","chloramphenicol acetyltransferase (CAT)","phenicol antibiotic","antibiotic inactivation"
"SHV-42.3001100.AF535130.0-861.1874","SHV-42",3001100,"AF535130","0-861","1874",37480,"SHV-42","AAN04884.1","AF535130","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-51.3001108.AY289548.0-861.1316","SHV-51",3001108,"AY289548","0-861","1316",37488,"SHV-51","AAP41944.1","AY289548","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-185.3003152.KM233164.0-861.2023","SHV-185",3003152,"KM233164","0-861","2023",39729,"SHV-185","AIS67768.1","KM233164","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-57.3001113.AY223863.170-1031.1715","SHV-57",3001113,"AY223863","170-1031","1715",37493,"SHV-57","AAO66446.1","AY223863","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-33.3001091.JX268631.0-861.1148","SHV-33",3001091,"JX268631","0-861","1148",37471,"SHV-33","AFN82060.1","JX268631","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-62.3001117.AJ866285.0-861.839","SHV-62",3001117,"AJ866285","0-861","839",37497,"SHV-62","CAI30651.2","AJ866285","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-26.3001084.AF227204.73-934.1789","SHV-26",3001084,"AF227204","73-934","1789",37464,"SHV-26","AAF36719.1","AF227204","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-144.3001345.JQ926986.0-861.1871","SHV-144",3001345,"JQ926986","0-861","1871",37745,"SHV-144","AFK93491.1","JQ926986","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-96.3001148.EF373971.0-861.841","SHV-96",3001148,"EF373971","0-861","841",37528,"SHV-96","ABN49112.1","EF373971","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-94.3001146.EF373970.0-861.1950","SHV-94",3001146,"EF373970","0-861","1950",37526,"SHV-94","ABN49111.1","EF373970","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"sul1.3000410.JF969163.1053-1893.340","sul1",3000410,"JF969163","1053-1893","340",36549,"sul1","AEJ33969.1","JF969163","sulfonamide resistant sul","sulfonamide antibiotic;sulfone antibiotic","antibiotic target replacement"
"SHV-69.3001123.DQ174308.4-865.1317","SHV-69",3001123,"DQ174308","4-865","1317",37503,"SHV-69","ABA06590.1","DQ174308","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-45.3001103.AF547625.0-861.834","SHV-45",3001103,"AF547625","0-861","834",37483,"SHV-45","AAN39364.1","AF547625","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-100.3001338.AM941846.0-900.1542","SHV-100",3001338,"AM941846","0-900","1542",37738,"SHV-100","CAQ03505.1","AM941846","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-18.3001076.AF132290.87-948.1636","SHV-18",3001076,"AF132290","87-948","1636",37456,"SHV-18","AAF64386.1","AF132290","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-120.3001167.JF812965.0-861.1543","SHV-120",3001167,"JF812965","0-861","1543",37547,"SHV-120","AEG79634.1","JF812965","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-102.3001151.EU024485.0-861.1697","SHV-102",3001151,"EU024485","0-861","1697",37531,"SHV-102","ABS72342.1","EU024485","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-81.3001135.AM176556.25-886.1151","SHV-81",3001135,"AM176556","25-886","1151",37515,"SHV-81","CAJ47136.2","AM176556","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-70.3001124.DQ013287.0-861.1485","SHV-70",3001124,"DQ013287","0-861","1485",37504,"SHV-70","AAY42633.1","DQ013287","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-74.3001128.AM176549.30-891.1792","SHV-74",3001128,"AM176549","30-891","1792",37508,"SHV-74","CAJ47129.2","AM176549","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-63.3001118.EU342351.172-1033.920","SHV-63",3001118,"EU342351","172-1033","920",37498,"SHV-63","ABY56290.1","EU342351","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"tetA(60).3004035.KX000272.1.0-1740.3978","tetA(60)",3004035,"KX000272 . 1","0-1740","3978",41068,"tetA(60)","ANZ79240.1","KX000272.1","ATP-binding cassette (ABC) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux"
"SHV-11.3001070.X98101.73-934.1062","SHV-11",3001070,"X98101","73-934","1062",37450,"SHV-11","CAA66729.1","X98101","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-108.3001157.HM751100.0-861.899","SHV-108",3001157,"HM751100","0-861","899",37537,"SHV-108","ADR80606.1","HM751100","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-29.3001087.AF301532.7-868.2024","SHV-29",3001087,"AF301532","7-868","2024",37467,"SHV-29","AAG49894.1","AF301532","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-189.3003156.KP050494.0-861.2125","SHV-189",3003156,"KP050494","0-861","2125",39733,"SHV-189","AJO16047.1","KP050494","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-145.3001185.JX013655.0-861.1943","SHV-145",3001185,"JX013655","0-861","1943",37565,"SHV-145","AFN88952.1","JX013655","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-76.3001130.AM176551.30-891.1949","SHV-76",3001130,"AM176551","30-891","1949",37510,"SHV-76","CAJ47131.2","AM176551","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-173.3001357.KF513178.0-861.1390","SHV-173",3001357,"KF513178","0-861","1390",37757,"SHV-173","AHA80959.1","KF513178","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"tet(B).3000166.AB089595.0-1206.325","tet(B)",3000166,"AB089595","0-1206","325",36305,"tet(B)","BAC67143.1","AB089595","major facilitator superfamily (MFS) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux"
"SHV-59.3001114.AY790341.0-861.1791","SHV-59",3001114,"AY790341","0-861","1791",37494,"SHV-59","AAV66328.1","AY790341","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-168.3001352.JX870080.0-861.1233","SHV-168",3001352,"JX870080","0-861","1233",37752,"SHV-168","AFW16978.1","JX870080","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"parC.3003925.NC_015964.1.1905162-1907418.3728","parC",3003925,"NC_015964 . 1","1905162-1907418","3728",40634,"Haemophilus parainfluenzae parC conferring resistance to fluoroquinolones","WP_041918279.1","NC_015964.1","fluoroquinolone resistant parC","fluoroquinolone antibiotic","antibiotic target alteration"
"SHV-55.3001111.AJ863560.0-861.1562","SHV-55",3001111,"AJ863560","0-861","1562",37491,"SHV-55","CAI10727.2","AJ863560","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-41.3001099.AF535129.0-861.1790","SHV-41",3001099,"AF535129","0-861","1790",37479,"SHV-41","AAN04883.1","AF535129","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-129.3001176.GU827715.0-861.986","SHV-129",3001176,"GU827715","0-861","986",37556,"SHV-129","ADE08533.1","GU827715","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-187.3003154.LN515533.0-867.917","SHV-187",3003154,"LN515533","0-867","917",39731,"SHV-187","CEA29750.1","LN515533","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-50.3001107.AY288915.0-861.1236","SHV-50",3001107,"AY288915","0-861","1236",37487,"SHV-50","AAP41108.1","AY288915","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"SHV-122.3001169.HM751103.1.0-864.4356","SHV-122",3001169,"HM751103 . 1","0-864","4356",37549,"SHV-122","ADR80609.1","HM751103.1","SHV beta-lactamase","carbapenem;cephalosporin;penam","antibiotic inactivation"
"vanTG.3002972.DQ212986.7787-9926.217","vanTG",3002972,"DQ212986","7787-9926","217",39406,"vanTG","ABA71733.1","DQ212986","glycopeptide resistance gene cluster;vanT","glycopeptide antibiotic","antibiotic target alteration"
"tetA(46).3004032.HQ652506.1.373-2098.3976","tetA(46)",3004032,"HQ652506 . 1","373-2098","3976",41064,"tetA(46)","AET10444.1","HQ652506.1","ATP-binding cassette (ABC) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux"
"ANT(6)-Ib.3002629.FN594949.27481-28339.60","ANT(6)-Ib",3002629,"FN594949","27481-28339","60",39029,"ANT(6)-Ib","CBH51824.1","FN594949","ANT(6)","aminoglycoside antibiotic","antibiotic inactivation"
"Helicobacter_pylori_16S.3003510.CP003904.1.1511156-1512657.4114","Helicobacter_pylori_16S",3003510,"CP003904 . 1","1511156-1512657","4114",40112,"Helicobacter pylori 16S rRNA mutation conferring resistance to tetracycline",NA,"CP003904.1","16S rRNA with mutation conferring resistance to tetracycline derivatives","aminoglycoside antibiotic;glycopeptide antibiotic;glycylcycline;nucleoside antibiotic;peptide antibiotic;tetracycline antibiotic","antibiotic target alteration"
"tetB(46).3004033.HQ652506.1.2099-3836.3977","tetB(46)",3004033,"HQ652506 . 1","2099-3836","3977",41066,"tetB(46)","AET10445.1","HQ652506.1","ATP-binding cassette (ABC) antibiotic efflux pump","tetracycline antibiotic","antibiotic efflux"
"Brachyspira_hyodysenteriae_23S.3004133.NZ_CP015910.2.2512812-2515808.4183","Brachyspira_hyodysenteriae_23S",3004133,"NZ_CP015910 . 2","2512812-2515808","4183",41260,"Brachyspira hyodysenteriae 23S rRNA with mutation conferring resistance to tylosin",NA,"NZ_CP015910.2","23S rRNA with mutation conferring resistance to macrolide antibiotics","glycopeptide antibiotic;lincosamide antibiotic;macrolide antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic","antibiotic target alteration"
"AAC(6')-Ie-APH(2'')-Ia.3002597.GU565967.1.24979-26419.5296","AAC(6')-Ie-APH(2'')-Ia",3002597,"GU565967 . 1","24979-26419","5296",38997,"AAC(6')-Ie-APH(2'')-Ia","AAA88548.1","GU565967.1","AAC(6');APH(2'')","aminoglycoside antibiotic","antibiotic inactivation"
"CTX-M-116.3001976.JF966749.157-1033.824","CTX-M-116",3001976,"JF966749","157-1033","824",38376,"CTX-M-116","AEI70324.1","JF966749","CTX-M beta-lactamase","cephalosporin","antibiotic inactivation"
"CRP.3000518.AP009048.1.4153663-4154296.4752","CRP",3000518,"AP009048 . 1","4153663-4154296","4752",36657,"CRP","BAE77933.1","AP009048.1","resistance-nodulation-cell division (RND) antibiotic efflux pump","fluoroquinolone antibiotic;macrolide antibiotic;penam","antibiotic efflux"
"CTX-M-123.3001982.JN790864.238-1114.1254","CTX-M-123",3001982,"JN790864","238-1114","1254",38382,"CTX-M-123","AFA51701.1","JN790864","CTX-M beta-lactamase","cephalosporin","antibiotic inactivation"
"CTX-M-62.3001923.EF219134.2125-3001.787","CTX-M-62",3001923,"EF219134","2125-3001","787",38323,"CTX-M-62","ABP04245.1","EF219134","CTX-M beta-lactamase","cephalosporin","antibiotic inactivation"
"CTX-M-32.3001894.AJ557142.0-876.867","CTX-M-32",3001894,"AJ557142","0-876","867",38294,"CTX-M-32","CAD89606.1","AJ557142","CTX-M beta-lactamase","cephalosporin","antibiotic inactivation"
"CTX-M-54.3001916.DQ303459.2174-3050.1478","CTX-M-54",3001916,"DQ303459","2174-3050","1478",38316,"CTX-M-54","ABC18328.3","DQ303459","CTX-M beta-lactamase","cephalosporin","antibiotic inactivation"
"mdfA.3001328.JQ394987.0-1233.561","mdfA",3001328,"JQ394987","0-1233","561",37727,"Escherichia coli mdfA","AFH35853.1","JQ394987","major facilitator superfamily (MFS) antibiotic efflux pump","benzalkonium chloride;rhodamine;tetracycline antibiotic","antibiotic efflux"
"CTX-M-80.3001941.EU202673.0-876.909","CTX-M-80",3001941,"EU202673","0-876","909",38341,"CTX-M-80","ABW86620.2","EU202673","CTX-M beta-lactamase","cephalosporin","antibiotic inactivation"
"CTX-M-37.3001899.AY649755.17-893.1273","CTX-M-37",3001899,"AY649755","17-893","1273",38299,"CTX-M-37","AAT70415.1","AY649755","CTX-M beta-lactamase","cephalosporin","antibiotic inactivation"
"gyrA.3004335.U00096.3.2336792-2339420.4469","gyrA",3004335,"U00096 . 3","2336792-2339420","4469",41503,"Escherichia coli gyrA with mutation conferring resistance to triclosan","AAC75291.1","U00096.3","triclosan resistant gyrA","triclosan","antibiotic target alteration"
"Escherichia_coli_LamB.3004126.BA000007.5101244-5102585.4102","Escherichia_coli_LamB",3004126,"BA000007","5101244-5102585","4102",41252,"Escherichia coli LamB","BAB38442","BA000007","Sugar Porin (SP)","fluoroquinolone antibiotic;tetracycline antibiotic","reduced permeability to antibiotic;resistance by absence"
"mdtP.3003550.AP009048.1.4303042-4304509.4454","mdtP",3003550,"AP009048 . 1","4303042-4304509","4454",40152,"mdtP","BAE78082.1","AP009048.1","major facilitator superfamily (MFS) antibiotic efflux pump","acridine dye;disinfecting agents and intercalating dyes;nucleoside antibiotic","antibiotic efflux"
"acrB.3000216.U00096.3.481253-484403.5485","acrB",3000216,"U00096 . 3","481253-484403","5485",36355,"acrB","AAC73564.1","U00096.3","resistance-nodulation-cell division (RND) antibiotic efflux pump","cephalosporin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan","antibiotic efflux"
"CTX-M-101.3001960.HQ398214.249-1125.865","CTX-M-101",3001960,"HQ398214","249-1125","865",38360,"CTX-M-101","ADY02545.1","HQ398214","CTX-M beta-lactamase","cephalosporin","antibiotic inactivation"
"nfsA.3003751.U00096.3.891183-891906.5371","nfsA",3003751,"U00096 . 3","891183-891906","5371",40407,"Escherichia coli nfsA mutations conferring resistance to nitrofurantoin","AAC73938.1","U00096.3","antibiotic resistant nfsA","nitrofuran antibiotic","antibiotic target alteration"
"CTX-M-55.3001917.DQ885477.0-876.1552","CTX-M-55",3001917,"DQ885477","0-876","1552",38317,"CTX-M-55","ABI34705.1","DQ885477","CTX-M beta-lactamase","cephalosporin","antibiotic inactivation"
"acrA.3004043.U00096.3.484425-485619.5262","acrA",3004043,"U00096 . 3","484425-485619","5262",41090,"Escherichia coli acrA","AAC73565.1","U00096.3","resistance-nodulation-cell division (RND) antibiotic efflux pump","cephalosporin;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic;triclosan","antibiotic efflux"
"CTX-M-60.3001921.AM411407.0-876.1966","CTX-M-60",3001921,"AM411407","0-876","1966",38321,"CTX-M-60","CAL80726.1","AM411407","CTX-M beta-lactamase","cephalosporin","antibiotic inactivation"
"CTX-M-28.3001890.AJ549244.0-876.1780","CTX-M-28",3001890,"AJ549244","0-876","1780",38290,"CTX-M-28","CAD70280.1","AJ549244","CTX-M beta-lactamase","cephalosporin","antibiotic inactivation"
"emrA.3000027.AP009048.2810082-2811255.411","emrA",3000027,"AP009048","2810082-2811255","411",36036,"emrA","BAA16547.1","AP009048","major facilitator superfamily (MFS) antibiotic efflux pump","fluoroquinolone antibiotic","antibiotic efflux"
"CTX-M-36.3001898.AB177384.0-876.1186","CTX-M-36",3001898,"AB177384","0-876","1186",38298,"CTX-M-36","BAD16611.1","AB177384","CTX-M beta-lactamase","cephalosporin","antibiotic inactivation"
"cpxA.3000830.BA000007.3.4903688-4905062.5407","cpxA",3000830,"BA000007 . 3","4903688-4905062","5407",37210,"cpxA","BAB38260.1","BA000007.3","resistance-nodulation-cell division (RND) antibiotic efflux pump","aminocoumarin antibiotic;aminoglycoside antibiotic","antibiotic efflux"
"CTX-M-29.3001891.AY267213.0-876.1862","CTX-M-29",3001891,"AY267213","0-876","1862",38291,"CTX-M-29","AAP22736.1","AY267213","CTX-M beta-lactamase","cephalosporin","antibiotic inactivation"
"CTX-M-30.3001892.AY292654.0-876.2043","CTX-M-30",3001892,"AY292654","0-876","2043",38292,"CTX-M-30","AAP43508.1","AY292654","CTX-M beta-lactamase","cephalosporin","antibiotic inactivation"
"acrD.3000491.AP009048.1.2586250-2589364.5517","acrD",3000491,"AP009048 . 1","2586250-2589364","5517",36630,"acrD","BAA16344.1","AP009048.1","resistance-nodulation-cell division (RND) antibiotic efflux pump","aminoglycoside antibiotic","antibiotic efflux"
"CTX-M-139.3001997.KC107824.0-876.866","CTX-M-139",3001997,"KC107824","0-876","866",38397,"CTX-M-139","AFY98865.1","KC107824","CTX-M beta-lactamase","cephalosporin","antibiotic inactivation"
"porin_OmpC.3004114.KY086517.0-1104.4096","porin_OmpC",3004114,"KY086517","0-1104","4096",41238,"porin OmpC","APB87301","KY086517","General Bacterial Porin with reduced permeability to beta-lactams","carbapenem;cephalosporin;cephamycin;monobactam;penam;penem","reduced permeability to antibiotic"
"CTX-M-136.3001995.KC351754.157-1033.2042","CTX-M-136",3001995,"KC351754","157-1033","2042",38395,"CTX-M-136","AGG08693.1","KC351754","CTX-M beta-lactamase","cephalosporin","antibiotic inactivation"
"AcrE.3000499.U00096.3413863-3415021.333","AcrE",3000499,"U00096","3413863-3415021","333",36638,"AcrE","AAC76297.1","U00096","resistance-nodulation-cell division (RND) antibiotic efflux pump","cephalosporin;cephamycin;fluoroquinolone antibiotic;penam","antibiotic efflux"
"CTX-M-155.3003163.KM211508.0-876.1666","CTX-M-155",3003163,"KM211508","0-876","1666",39740,"CTX-M-155","AIS67611.1","KM211508","CTX-M beta-lactamase","cephalosporin","antibiotic inactivation"
"murA.3003775.CP009072.1414817-1416077.3548","murA",3003775,"CP009072","1414817-1416077","3548",40451,"Escherichia coli murA with mutation conferring resistance to fosfomycin","AIL15701","CP009072","antibiotic-resistant murA transferase","fosfomycin","antibiotic target alteration"
"CTX-M-142.3002000.KF240809.0-876.1105","CTX-M-142",3002000,"KF240809","0-876","1105",38400,"CTX-M-142","AGW25368.1","KF240809","CTX-M beta-lactamase","cephalosporin","antibiotic inactivation"
"Escherichia_coli_EF-Tu.3003369.AE014075.1.3901532-3902762.4655","Escherichia_coli_EF-Tu",3003369,"AE014075 . 1","3901532-3902762","4655",39953,"Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin","AAN82549.1","AE014075.1","elfamycin resistant EF-Tu","elfamycin antibiotic","antibiotic target alteration"
